artist,album,danceability,energy,acousticness,loudness,anger,joy,sadness,surprise
Wild Beasts,Two Dancers,0.5109,0.6004,0.242032,-9.4938,0.260712565,0.245637107,0.274143664,0.219506663
Quest for Fire,Quest For Fire,0.231333333,0.705,0.406883333,-7.355166667,0.19961972,0.304808296,0.2589197,0.236652284
The xx,xx,0.50328,0.83892,0.09555292,-4.91312,0.24379903,0.266520445,0.250471231,0.239209293
Foot Village,Anti-Magic,0.508636364,0.820272727,0.083689636,-8.839909091,0.221746613,0.197668135,0.220106874,0.360478378
Charli XCX,Sucker,0.571933333,0.9044,0.0248082,-3.095666667,0.248759142,0.277678072,0.251515162,0.222047624
J. Cole,2014 Forest Hills Drive,0.639230769,0.575307692,0.402330769,-8.981384615,0.288362391,0.259229527,0.233527207,0.218880875
Usnea,Random Cosmic Violence,0.29075,0.62025,0.000389,-6.65975,0.27336284,0.198621757,0.304440854,0.223574549
Richard Ashcroft,Keys to the World,0.463,0.589,0.2278669,-7.8986,0.226305157,0.245663909,0.253763742,0.274267192
Thor,Triumphant,0.440066667,0.8348,0.010749078,-7.228266667,0.248808105,0.206925698,0.276818068,0.267448129
Rosie Thomas,Only With Laughter Can You Win,0.473454545,0.261472727,0.891363636,-11.61509091,0.198189687,0.27095527,0.297031813,0.23382323
Immortal Technique,"Revolutionary, Vol. 2",0.677666667,0.707277778,0.378311111,-8.204055556,0.339942057,0.206640629,0.261056018,0.192361296
Viktor Vaughn,Vaudeville Villain,0.656588235,0.697882353,0.339074118,-8.247823529,0.312550874,0.22268736,0.211035813,0.253725953
Youth Lagoon,The Year of Hibernation,0.4995,0.4803,0.5912,-8.1738,0.241857267,0.226574229,0.271448053,0.260120451
Plaid,Scintilli,0.580153846,0.560307692,0.098516154,-12.20792308,0.2315351,0.261063554,0.243127231,0.264274115
The Stepkids,The Stepkids,0.4505,0.5215,0.157566,-11.7251,0.232706142,0.275934687,0.260610085,0.230749086
Rwake,Rest,0.247166667,0.663166667,0.271581967,-9.8985,0.434864229,0.135581993,0.289944536,0.139609242
Dum Dum Girls,Only in Dreams,0.327,0.8368,0.00294793,-5.0637,0.248553551,0.237935311,0.271361873,0.242149265
Brett Anderson,Black Rainbows,0.499,0.7458,0.0225277,-5.8083,0.243492962,0.275960821,0.25422357,0.226322647
Opeth,Heritage,0.493,0.43066,0.316106,-14.4568,0.223432689,0.245725015,0.301994571,0.228847725
The Walkmen,Everyone Who Pretended to Like Me Is Gone,0.391461538,0.675769231,0.300690769,-8.865461538,0.236012019,0.25947012,0.260677604,0.243840257
Soft Metals,Soft Metals,0.6084,0.8589,0.0338378,-7.255,0.250963047,0.260756152,0.276451828,0.211828973
Screaming Trees,Last Words: The Final Recordings,0.3836,0.7156,0.04715836,-8.338,0.25746622,0.22493694,0.286132733,0.231464107
Elysian Fields,Last Night on Earth,0.501,0.390363636,0.546390909,-10.055,0.223799192,0.281575944,0.25549383,0.239131034
William Elliott Whitmore,Field Songs,0.595,0.4475,0.80125,-10.32316667,0.237818948,0.25630618,0.300139811,0.205735061
Wu-Tang,Legendary Weapons,0.6175,0.709357143,0.23623,-9.3495,0.347871052,0.220697003,0.23489472,0.196537225
Rogue Wave,Permalight,0.630833333,0.67825,0.23060075,-5.96025,0.238874472,0.2675628,0.244329798,0.24923293
Clogs,The Creatures in the Garden of Lady Walton,0.422,0.2134,0.9477,-14.5679,0.243132167,0.239600382,0.244483288,0.272784162
Archie Bronson Outfit,Coconut,0.5098,0.9077,0.169133,-2.3039,0.265354835,0.26135996,0.267996661,0.205288544
Andrew W.K.,Close Calls With Brick Walls / Mother of Mankind,0.350425,0.81818725,0.179270025,-4.76485,0.263532493,0.259350429,0.234873936,0.242243142
Jason Collett,Rat a Tat Tat,0.596181818,0.607909091,0.144462273,-7.207363636,0.285701484,0.268803386,0.252308644,0.193186486
Slow Club,Yeah So,0.450083333,0.413266667,0.418791667,-12.2075,0.255795382,0.259614567,0.267205638,0.217384412
High on Fire,Snakes for the Divine,0.293,0.91175,5.95E-05,-6.07,0.284693112,0.215706077,0.258912309,0.240688502
King Gizzard & The Lizard Wizard,Murder of the Universe,0.328857143,0.789238095,0.181137438,-5.654761905,0.254554988,0.225316234,0.284532586,0.235596192
David Bowie,Cracked Actor (Live Los Angeles ’74),0.41845,0.73235,0.202261,-8.81905,0.240864544,0.289216206,0.235001773,0.234917478
